GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
technician-service,com.rapidfix.technician.security,JwtAuthFilter,0,60,0,6,0,12,0,6,0,3
technician-service,com.rapidfix.technician.security,JwtUtil,0,70,0,2,0,14,0,9,0,8
technician-service,com.rapidfix.technician,TechnicianServiceApplication,5,3,0,0,2,1,1,1,1,1
technician-service,com.rapidfix.technician.controller,TechnicianController,128,219,37,13,18,43,27,15,2,15
technician-service,com.rapidfix.technician.util,MessageService,0,33,0,0,0,11,0,3,0,3
technician-service,com.rapidfix.technician.service.impl,TechnicianServiceImpl,154,497,4,14,21,72,10,25,6,20
